Symbol,Name,Sector
OFSS,Oracle Financial Services Software Limited,nil
TRENT,Trent Limited,nil
IDEA,Vodafone Idea Limited,nil
IOB,Indian Overseas Bank,nil
SUPREMEIND,Supreme Industries Limited,nil
RECLTD,REC Limited,nil
CUMMINSIND,Cummins India Limited,nil
NIACL,The New India Assurance Company Limited,nil
CANBK,Canara Bank,nil
CROMPTON,Crompton Greaves Consumer Electricals Limited,nil
M&MFIN,Mahindra & Mahindra Financial Services Limited,nil
NHPC,NHPC Limited,nil
GLAXO,GlaxoSmithKline Pharmaceuticals Limited,nil
IPCALAB,IPCA Laboratories Limited,nil
L&TFH,L&T Finance Holdings Limited,nil
RAMCOCEM,The Ramco Cements Limited,nil
INDIAMART,Indiamart Intermesh Limited,nil
TIINDIA,Tube Investments of India Limited,nil
AARTIIND,Aarti Industries Limited,nil
COROMANDEL,Coromandel International Limited,nil
DEEPAKNTR,Deepak Nitrite Limited,nil
LALPATHLAB,Dr. Lal Path Labs Ltd.,nil
JKCEMENT,JK Cement Limited,nil
BANKINDIA,Bank of India,nil
UNIONBANK,Union Bank of India,nil
RELAXO,Relaxo Footwears Limited,nil
SYNGENE,Syngene International Limited,nil
LICHSGFIN,LIC Housing Finance Limited,nil
EMAMILTD,Emami Limited,nil
DIXON,Dixon Technologies (India) Limited,nil
ATUL,Atul Limited,nil
OBEROIRLTY,Oberoi Realty Limited,nil
NAM-INDIA,Nippon Life India Asset Management Limited,nil
PFIZER,Pfizer Limited,nil
POLYCAB,Polycab India Limited,nil
ENDURANCE,Endurance Technologies Limited,nil
TORNTPOWER,Torrent Power Limited,nil
MAXHEALTH,Max Healthcare Institute Limited,nil
ZEEL,Zee Entertainment Enterprises Limited,nil
LAURUSLABS,Laurus Labs Limited,nil
AIAENG,AIA Engineering Limited,nil
GILLETTE,Gillette India Limited,nil
TATACHEM,Tata Chemicals Limited,nil
AAVAS,Aavas Financiers Limited,nil
RUCHI,Ruchi Soya Industries Limited,nil
APLLTD,Alembic Pharmaceuticals Limited,nil
SUNTV,Sun TV Network Limited,nil
GODREJIND,Godrej Industries Limited,nil
SANOFI,Sanofi India Limited,nil
BATAINDIA,Bata India Limited,nil
COFORGE,Coforge Limited,nil
APLAPOLLO,APL Apollo Tubes Limited,nil
ESCORTS,Escorts Limited,nil
ABFRL,Aditya Birla Fashion and Retail Limited,nil
SCHAEFFLER,Schaeffler India Limited,nil
BHEL,Bharat Heavy Electricals Limited,nil
SUNDRMFAST,Sundram Fasteners Limited,nil
TATAELXSI,Tata Elxsi Limited,nil
THERMAX,Thermax Limited,nil
HATSUN,Hatsun Agro Product Limited,nil
EXIDEIND,Exide Industries Limited,nil
AJANTPHARM,Ajanta Pharma Limited,nil
GSPL,Gujarat State Petronet Limited,nil
LINDEINDIA,Linde India Limited,nil
FEDERALBNK,The Federal Bank  Limited,nil
NATCOPHARM,Natco Pharma Limited,nil
